"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"Vargem Alegre",116.664,5780,49.54,5800,99.59,0.631,NA,39674154.81,36346077.35,15012.85
"Vargem Bonita",409.888,2158,5.26,2207,100,0.696,37.04,34566784.48,29905552.15,42818.54
"Vargem Grande do Rio Pardo",491.512,4633,9.43,4724,100,0.634,17.54,45257158.37,40141265.31,16621.34
"Varginha",395.396,136467,345.14,143676,99.79,0.778,12.91,12714627854.34,10224211840.85,73780.24
"Varjão de Minas",651.505,6969,10.7,7305,97.15,0.711,20.83,58645517.01,46739225.63,51926.77
"Várzea da Palma",2220.279,33744,15.2,34555,98.22,0.666,11.49,185527665.69,169750436.78,40059.08
"Varzelândia",814.994,18840,23.12,19210,99.28,0.594,29.17,100528119.61,98837859.42,12478.66
"Vazante",1913.396,19975,10.44,20459,98.75,0.742,9.05,160644315.33,151486950.43,60233.23
"Verdelândia",1570.582,7672,4.88,7737,99.03,0.584,6.85,52000922.76,52837199.67,17824.68
"Veredinha",631.691,5181,8.2,5240,100,0.632,23.26,48826417.61,44434826.07,22185.58
"Veríssimo",1031.823,3411,3.31,3478,95.01,0.667,NA,42454810.08,35125239.98,89993.48
"Vermelho Novo",115.242,4899,42.51,5048,99.11,0.612,49.18,41360667.18,35075457.54,17923.79
"Vespasiano",70.456,129246,1819.34,138583,98.05,0.688,9.68,614275559.44,611545773.98,28049.94
"Viçosa",299.418,76430,255.26,79517,99.34,0.775,8.02,470427273.55,457669704.44,29239.36
"Vieiras",112.691,3700,32.83,3781,99.3,0.668,NA,42800371.16,34897810.22,18752.64
"Mathias Lobato",172.297,3038,17.63,3053,98.97,0.612,NA,60118923.44,54975624.46,19092.25
"Virgem da Lapa",868.914,11804,13.58,11774,99.22,0.61,NA,74041650.25,74131635.88,13773.93
"Virgínia",326.515,8908,27.28,9164,99.56,0.651,24.39,49698949.49,48238509.26,26814.39
"Virginópolis",439.878,10314,23.45,10511,98.89,0.675,NA,68103990.16,72844339.2,20456.87
"Virgolândia",281.022,4552,16.2,4471,100,0.62,56.6,43157495.55,36453044.8,14883.22
"Visconde do Rio Branco",243.351,39160,160.92,40711,99.01,0.709,20,192408856.79,193491609.42,52407.5
"Volta Grande",205.552,4443,21.61,4441,99.39,0.669,45.45,42598966.31,36103782.15,32947.62
"Wenceslau Braz",102.487,2356,22.99,2377,100,0.678,NA,32775320.96,28063766.68,18576.75
